stop_id;nom;latitude;longitude
StopArea:OCE87324095;futuroscope;46.669918;0.377209
StopPoint:OCEOUIGO-87324095;futuroscope;46.669918;0.377209
StopArea:OCE87393009;versailles chantiers;48.795649;2.135924
StopPoint:OCEOUIGO-87393009;versailles chantiers;48.795649;2.135924
StopArea:OCE87393579;massy palaiseau;48.725631;2.257868
StopPoint:OCEOUIGO-87393579;massy palaiseau;48.725631;2.257868
StopArea:OCE87394007;chartres;48.448628;1.481202
StopPoint:OCEOUIGO-87394007;chartres;48.448628;1.481202
StopArea:OCE87396002;le mans;47.995217;0.192434
StopPoint:OCEOUIGO-87396002;le mans;47.995217;0.192434
StopArea:OCE87481002;nantes;47.217094;-1.541424
StopPoint:OCEINTERCITES-87481002;nantes;47.217094;-1.541424
StopPoint:OCEOUIGO-87481002;nantes;47.217094;-1.541424
StopArea:OCE87484006;angers saint laud;47.46436;-0.5568
StopPoint:OCEINTERCITES-87484006;angers saint laud;47.46436;-0.5568
StopPoint:OCEOUIGO-87484006;angers saint laud;47.46436;-0.5568
StopArea:OCE87485003;la rochelle;46.152703;-1.145288
StopPoint:OCEINTERCITES-87485003;la rochelle;46.152703;-1.145288
StopArea:OCE87485144;rochefort;45.947416;-0.963788
StopPoint:OCEINTERCITES-87485144;rochefort;45.947416;-0.963788
StopArea:OCE87486019;la roche sur yon;46.671915;-1.435842
StopPoint:OCEINTERCITES-87486019;la roche sur yon;46.671915;-1.435842
StopArea:OCE87486258;lucon;46.463723;-1.167426
StopPoint:OCEINTERCITES-87486258;lucon;46.463723;-1.167426
StopArea:OCE87487603;saumur;47.26895;-0.071519
StopPoint:OCEINTERCITES-87487603;saumur;47.26895;-0.071519
StopPoint:OCEOUIGO-87487603;saumur;47.26895;-0.071519
StopArea:OCE87491001;saintes;45.748886;-0.617356
StopPoint:OCEINTERCITES-87491001;saintes;45.748886;-0.617356
StopArea:OCE87491142;jonzac;45.438628;-0.441694
StopPoint:OCEINTERCITES-87491142;jonzac;45.438628;-0.441694
StopArea:OCE87543017;les aubrais;47.926801;1.906629
StopPoint:OCEINTERCITES-87543017;les aubrais;47.926801;1.906629
StopPoint:OCEINTERCITES de nuit-87543017;les aubrais;47.926801;1.906629
StopPoint:OCEOUIGO-87543017;les aubrais;47.926801;1.906629
StopArea:OCE87545244;juvisy;48.689969;2.383502
StopPoint:OCEOUIGO-87545244;juvisy;48.689969;2.383502
StopArea:OCE87547000;paris austerlitz;48.840496;2.367079
StopPoint:OCEINTERCITES-87547000;paris austerlitz;48.840496;2.367079
StopPoint:OCEINTERCITES de nuit-87547000;paris austerlitz;48.840496;2.367079
StopPoint:OCEOUIGO-87547000;paris austerlitz;48.840496;2.367079
StopArea:OCE87571240;saint pierre des corps;47.385639;0.723696
StopPoint:OCEINTERCITES-87571240;saint pierre des corps;47.385639;0.723696
StopPoint:OCEOUIGO-87571240;saint pierre des corps;47.385639;0.723696
StopArea:OCE87574004;blois   chambord;47.585449;1.323759
StopPoint:OCEOUIGO-87574004;blois   chambord;47.585449;1.323759
StopArea:OCE87575001;poitiers;46.582311;0.332758
StopPoint:OCEOUIGO-87575001;poitiers;46.582311;0.332758
StopArea:OCE87576009;vierzon;47.226739;2.059982
StopPoint:OCEINTERCITES-87576009;vierzon;47.226739;2.059982
StopArea:OCE87576207;bourges;47.094129;2.394236
StopPoint:OCEINTERCITES-87576207;bourges;47.094129;2.394236
StopArea:OCE87581009;bordeaux saint jean;44.825823;-0.556012
StopPoint:OCEINTERCITES-87581009;bordeaux saint jean;44.825823;-0.556012
StopPoint:OCEOUIGO-87581009;bordeaux saint jean;44.825823;-0.556012
StopArea:OCE87583005;angouleme;45.653941;0.164531
StopPoint:OCEOUIGO-87583005;angouleme;45.653941;0.164531
StopArea:OCE87586008;agen;44.208438;0.620701
StopPoint:OCEINTERCITES-87586008;agen;44.208438;0.620701
StopArea:OCE87586545;marmande;44.503204;0.167985
StopPoint:OCEINTERCITES-87586545;marmande;44.503204;0.167985
StopArea:OCE87592006;limoges benedictins;45.837218;1.269008
StopPoint:OCEINTERCITES-87592006;limoges benedictins;45.837218;1.269008
StopArea:OCE87592378;la souterraine;46.240628;1.491709
StopPoint:OCEINTERCITES-87592378;la souterraine;46.240628;1.491709
StopArea:OCE87594002;brive la gaillarde;45.152623;1.528141
StopPoint:OCEINTERCITES-87594002;brive la gaillarde;45.152623;1.528141
StopArea:OCE87594200;uzerche;45.440682;1.570434
StopPoint:OCEINTERCITES-87594200;uzerche;45.440682;1.570434
StopArea:OCE87594333;souillac;44.902337;1.46524
StopPoint:OCEINTERCITES-87594333;souillac;44.902337;1.46524
StopPoint:OCEINTERCITES de nuit-87594333;souillac;44.902337;1.46524
StopArea:OCE87594572;saint denis pres martel;44.94579;1.666284
StopPoint:OCEINTERCITES de nuit-87594572;saint denis pres martel;44.94579;1.666284
StopArea:OCE87594762;bretenoux   biars;44.92756;1.844203
StopPoint:OCEINTERCITES de nuit-87594762;bretenoux   biars;44.92756;1.844203
StopArea:OCE87597005;chateauroux;46.809461;1.699515
StopPoint:OCEINTERCITES-87597005;chateauroux;46.809461;1.699515
StopArea:OCE87597062;issoudun;46.948634;1.985561
StopPoint:OCEINTERCITES-87597062;issoudun;46.948634;1.985561
StopArea:OCE87597120;argenton sur creuse;46.592311;1.518528
StopPoint:OCEINTERCITES-87597120;argenton sur creuse;46.592311;1.518528
StopArea:OCE87611004;toulouse matabiau;43.611437;1.454237
StopPoint:OCEINTERCITES-87611004;toulouse matabiau;43.611437;1.454237
StopPoint:OCEINTERCITES de nuit-87611004;toulouse matabiau;43.611437;1.454237
StopArea:OCE87611137;saint gaudens;43.104964;0.729267
StopPoint:OCEINTERCITES-87611137;saint gaudens;43.104964;0.729267
StopPoint:OCEINTERCITES de nuit-87611137;saint gaudens;43.104964;0.729267
StopArea:OCE87611152;montrejeau   gourdan polignan;43.078057;0.573546
StopPoint:OCEINTERCITES-87611152;montrejeau   gourdan polignan;43.078057;0.573546
StopArea:OCE87611244;montauban ville bourbon;44.014178;1.341135
StopPoint:OCEINTERCITES-87611244;montauban ville bourbon;44.014178;1.341135
StopPoint:OCEINTERCITES de nuit-87611244;montauban ville bourbon;44.014178;1.341135
StopArea:OCE87611343;pamiers;43.116213;1.619715
StopPoint:OCEINTERCITES de nuit-87611343;pamiers;43.116213;1.619715
StopArea:OCE87611368;saverdun;43.239429;1.570419
StopPoint:OCEINTERCITES de nuit-87611368;saverdun;43.239429;1.570419
StopArea:OCE87611384;auterive;43.348842;1.468635
StopPoint:OCEINTERCITES de nuit-87611384;auterive;43.348842;1.468635
StopArea:OCE87611483;latour de carol   enveitg;42.458954;1.904509
StopPoint:OCEINTERCITES de nuit-87611483;latour de carol   enveitg;42.458954;1.904509
StopArea:OCE87611509;porte puymorens;42.538978;1.824791
StopPoint:OCEINTERCITES de nuit-87611509;porte puymorens;42.538978;1.824791
StopArea:OCE87611517;andorre l hospitalet;42.589453;1.800264
StopPoint:OCEINTERCITES de nuit-87611517;andorre l hospitalet;42.589453;1.800264
StopArea:OCE87611525;merens les vals;42.659328;1.836998
StopPoint:OCEINTERCITES de nuit-87611525;merens les vals;42.659328;1.836998
StopArea:OCE87611533;ax les thermes;42.725032;1.833663
StopPoint:OCEINTERCITES de nuit-87611533;ax les thermes;42.725032;1.833663
StopArea:OCE87611558;luzenac   garanou;42.764452;1.753165
StopPoint:OCEINTERCITES de nuit-87611558;luzenac   garanou;42.764452;1.753165
StopArea:OCE87611574;les cabannes;42.786511;1.686342
StopPoint:OCEINTERCITES de nuit-87611574;les cabannes;42.786511;1.686342
StopArea:OCE87611590;tarascon sur ariege;42.849368;1.600071
StopPoint:OCEINTERCITES de nuit-87611590;tarascon sur ariege;42.849368;1.600071
StopArea:OCE87611616;foix;42.969656;1.606985
StopPoint:OCEINTERCITES de nuit-87611616;foix;42.969656;1.606985
StopArea:OCE87613000;cahors;44.449157;1.433249
StopPoint:OCEINTERCITES-87613000;cahors;44.449157;1.433249
StopPoint:OCEINTERCITES de nuit-87613000;cahors;44.449157;1.433249
StopArea:OCE87613042;rocamadour   padirac;44.817916;1.65745
StopPoint:OCEINTERCITES de nuit-87613042;rocamadour   padirac;44.817916;1.65745
StopArea:OCE87613059;gramat;44.773116;1.723047
StopPoint:OCEINTERCITES de nuit-87613059;gramat;44.773116;1.723047
StopArea:OCE87613075;assier;44.674547;1.869628
StopPoint:OCEINTERCITES de nuit-87613075;assier;44.674547;1.869628
StopArea:OCE87613091;figeac;44.603285;2.037136
StopPoint:OCEINTERCITES de nuit-87613091;figeac;44.603285;2.037136
StopArea:OCE87613109;capdenac;44.578962;2.077087
StopPoint:OCEINTERCITES de nuit-87613109;capdenac;44.578962;2.077087
StopArea:OCE87613141;gourdon;44.741811;1.389553
StopPoint:OCEINTERCITES-87613141;gourdon;44.741811;1.389553
StopPoint:OCEINTERCITES de nuit-87613141;gourdon;44.741811;1.389553
StopArea:OCE87613224;aubin;44.52729;2.239021
StopPoint:OCEINTERCITES de nuit-87613224;aubin;44.52729;2.239021
StopArea:OCE87613232;cransac;44.522966;2.271167
StopPoint:OCEINTERCITES de nuit-87613232;cransac;44.522966;2.271167
StopArea:OCE87613257;saint christophe;44.464913;2.407278
StopPoint:OCEINTERCITES de nuit-87613257;saint christophe;44.464913;2.407278
StopArea:OCE87613356;caussade;44.162312;1.533458
StopPoint:OCEINTERCITES-87613356;caussade;44.162312;1.533458
StopPoint:OCEINTERCITES de nuit-87613356;caussade;44.162312;1.533458
StopArea:OCE87613422;rodez;44.36277;2.580388
StopPoint:OCEINTERCITES de nuit-87613422;rodez;44.36277;2.580388
StopArea:OCE87613661;viviez   decazeville;44.555558;2.218426
StopPoint:OCEINTERCITES de nuit-87613661;viviez   decazeville;44.555558;2.218426
StopArea:OCE87615005;albi ville;43.92221;2.137253
StopPoint:OCEINTERCITES de nuit-87615005;albi ville;43.92221;2.137253
StopArea:OCE87615039;castelnaudary;43.312063;1.950096
StopPoint:OCEINTERCITES de nuit-87615039;castelnaudary;43.312063;1.950096
StopArea:OCE87615112;lezignan corbieres;43.199868;2.76959
StopPoint:OCEINTERCITES de nuit-87615112;lezignan corbieres;43.199868;2.76959
StopArea:OCE87615195;albi madeleine;43.938191;2.140799
StopPoint:OCEINTERCITES de nuit-87615195;albi madeleine;43.938191;2.140799
StopArea:OCE87615286;carcassonne;43.218165;2.35243
StopPoint:OCEINTERCITES-87615286;carcassonne;43.218165;2.35243
StopPoint:OCEINTERCITES de nuit-87615286;carcassonne;43.218165;2.35243
StopArea:OCE87615625;carmaux;44.048606;2.151988
StopPoint:OCEINTERCITES de nuit-87615625;carmaux;44.048606;2.151988
StopArea:OCE87615732;naucelle;44.185513;2.363373
StopPoint:OCEINTERCITES de nuit-87615732;naucelle;44.185513;2.363373
StopArea:OCE87645002;aurillac;44.921286;2.436272
StopPoint:OCEINTERCITES de nuit-87645002;aurillac;44.921286;2.436272
StopArea:OCE87645135;laroquebrou;44.964204;2.192848
StopPoint:OCEINTERCITES de nuit-87645135;laroquebrou;44.964204;2.192848
StopArea:OCE87645507;neussargues;45.125201;2.979192
StopPoint:OCEINTERCITES-87645507;neussargues;45.125201;2.979192
StopArea:OCE87671008;tarbes;43.239863;0.069442
StopPoint:OCEINTERCITES-87671008;tarbes;43.239863;0.069442
StopPoint:OCEINTERCITES de nuit-87671008;tarbes;43.239863;0.069442
StopArea:OCE87671123;lannemezan;43.11424;0.387582
StopPoint:OCEINTERCITES-87671123;lannemezan;43.11424;0.387582
StopArea:OCE87671339;lourdes;43.1006;-0.041812
StopPoint:OCEINTERCITES-87671339;lourdes;43.1006;-0.041812
StopPoint:OCEINTERCITES de nuit-87671339;lourdes;43.1006;-0.041812
StopArea:OCE87672006;pau;43.291467;-0.369458
StopPoint:OCEINTERCITES-87672006;pau;43.291467;-0.369458
StopPoint:OCEINTERCITES de nuit-87672006;pau;43.291467;-0.369458
StopArea:OCE87672253;orthez;43.484085;-0.767643
StopPoint:OCEINTERCITES-87672253;orthez;43.484085;-0.767643
StopPoint:OCEINTERCITES de nuit-87672253;orthez;43.484085;-0.767643
StopArea:OCE87673004;bayonne;43.497018;-1.470194
StopPoint:OCEINTERCITES-87673004;bayonne;43.497018;-1.470194
StopPoint:OCEINTERCITES de nuit-87673004;bayonne;43.497018;-1.470194
StopArea:OCE87673202;dax;43.720807;-1.050515
StopPoint:OCEINTERCITES de nuit-87673202;dax;43.720807;-1.050515
StopArea:OCE87673400;biarritz;43.459312;-1.545938
StopPoint:OCEINTERCITES-87673400;biarritz;43.459312;-1.545938
StopArea:OCE87677005;hendaye;43.353165;-1.782095
StopPoint:OCEINTERCITES-87677005;hendaye;43.353165;-1.782095
StopArea:OCE87677120;saint jean de luz   ciboure;43.385761;-1.660888
StopPoint:OCEINTERCITES-87677120;saint jean de luz   ciboure;43.385761;-1.660888
StopArea:OCE87681825;villeneuve saint georges;48.731181;2.446434
StopPoint:OCEOUIGO-87681825;villeneuve saint georges;48.731181;2.446434
StopArea:OCE87682005;melun;48.527574;2.655513
StopPoint:OCEOUIGO-87682005;melun;48.527574;2.655513
StopArea:OCE87686006;paris gare de lyon hall 1   2;48.844578;2.373912
StopPoint:OCEOUIGO-87686006;paris gare de lyon hall 1   2;48.844578;2.373912
StopArea:OCE87686667;paris bercy bourg  pays d auv ;48.839168;2.382911
StopPoint:OCEINTERCITES-87686667;paris bercy bourg  pays d auv ;48.839168;2.382911
StopPoint:OCEINTERCITES de nuit-87686667;paris bercy bourg  pays d auv ;48.839168;2.382911
StopPoint:OCEOUIGO-87686667;paris bercy bourg  pays d auv ;48.839168;2.382911
StopArea:OCE87696005;nevers;46.987469;3.150448
StopPoint:OCEINTERCITES-87696005;nevers;46.987469;3.150448
StopArea:OCE87696328;moulins sur allier;46.560643;3.338974
StopPoint:OCEINTERCITES-87696328;moulins sur allier;46.560643;3.338974
StopArea:OCE87713040;dijon;47.32288;5.026111
StopPoint:OCEOUIGO-87713040;dijon;47.32288;5.026111
StopArea:OCE87722025;lyon perrache;45.748476;4.825353
StopPoint:OCEINTERCITES-87722025;lyon perrache;45.748476;4.825353
StopPoint:OCEOUIGO-87722025;lyon perrache;45.748476;4.825353
StopArea:OCE87723197;lyon part dieu;45.760596;4.859409
StopPoint:OCEINTERCITES-87723197;lyon part dieu;45.760596;4.859409
StopPoint:OCEOUIGO-87723197;lyon part dieu;45.760596;4.859409
StopArea:OCE87725002;chalon sur saone;46.78103;4.843164
StopPoint:OCEOUIGO-87725002;chalon sur saone;46.78103;4.843164
StopArea:OCE87725689;macon;46.302901;4.824482
StopPoint:OCEOUIGO-87725689;macon;46.302901;4.824482
StopArea:OCE87726802;roanne;46.039474;4.062859
StopPoint:OCEINTERCITES-87726802;roanne;46.039474;4.062859
StopArea:OCE87732008;vichy;46.126882;3.430707
StopPoint:OCEINTERCITES-87732008;vichy;46.126882;3.430707
StopArea:OCE87732206;saint germain des fosses;46.20884;3.430763
StopPoint:OCEINTERCITES-87732206;saint germain des fosses;46.20884;3.430763
StopArea:OCE87734004;clermont ferrand;45.778575;3.100521
StopPoint:OCEINTERCITES-87734004;clermont ferrand;45.778575;3.100521
StopArea:OCE87734053;riom   chatel guyon;45.889965;3.120498
StopPoint:OCEINTERCITES-87734053;riom   chatel guyon;45.889965;3.120498
StopArea:OCE87734202;issoire;45.54411;3.254104
StopPoint:OCEINTERCITES-87734202;issoire;45.54411;3.254104
StopArea:OCE87734244;brassac les mines   sainte florine;45.414163;3.330354
StopPoint:OCEINTERCITES-87734244;brassac les mines   sainte florine;45.414163;3.330354
StopArea:OCE87734251;arvant;45.365389;3.310677
StopPoint:OCEINTERCITES-87734251;arvant;45.365389;3.310677
StopArea:OCE87734871;massiac   blesle;45.253151;3.19643
StopPoint:OCEINTERCITES-87734871;massiac   blesle;45.253151;3.19643
StopArea:OCE87751008;marseille saint charles;43.30303;5.380555
StopPoint:OCEINTERCITES-87751008;marseille saint charles;43.30303;5.380555
StopArea:OCE87751081;marseille blancarde;43.296144;5.406559
StopPoint:OCEINTERCITES de nuit-87751081;marseille blancarde;43.296144;5.406559
StopArea:OCE87753657;arles;43.685359;4.632109
StopPoint:OCEINTERCITES-87753657;arles;43.685359;4.632109
StopArea:OCE87755009;toulon;43.12836;5.92972
StopPoint:OCEINTERCITES de nuit-87755009;toulon;43.12836;5.92972
StopArea:OCE87755447;les arcs   draguignan;43.455592;6.482469
StopPoint:OCEINTERCITES de nuit-87755447;les arcs   draguignan;43.455592;6.482469
StopArea:OCE87756056;nice ville;43.704832;7.26199
StopPoint:OCEINTERCITES de nuit-87756056;nice ville;43.704832;7.26199
