nom;latitude;longitude
futuroscope;46.669918;0.377209
versailles chantiers;48.795649;2.135924
massy palaiseau;48.725631;2.257868
chartres;48.448628;1.481202
le mans;47.995217;0.192434
nantes;47.217094;-1.541424
angers saint laud;47.46436;-0.5568
la rochelle;46.152703;-1.145288
rochefort;45.947416;-0.963788
la roche sur yon;46.671915;-1.435842
lucon;46.463723;-1.167426
saumur;47.26895;-0.071519
saintes;45.748886;-0.617356
jonzac;45.438628;-0.441694
les aubrais;47.926801;1.906629
juvisy;48.689969;2.383502
paris austerlitz;48.840496;2.367079
saint pierre des corps;47.385639;0.723696
blois   chambord;47.585449;1.323759
poitiers;46.582311;0.332758
vierzon;47.226739;2.059982
bourges;47.094129;2.394236
bordeaux saint jean;44.825823;-0.556012
angouleme;45.653941;0.164531
agen;44.208438;0.620701
marmande;44.503204;0.167985
limoges benedictins;45.837218;1.269008
la souterraine;46.240628;1.491709
brive la gaillarde;45.152623;1.528141
uzerche;45.440682;1.570434
souillac;44.902337;1.46524
saint denis pres martel;44.94579;1.666284
bretenoux   biars;44.92756;1.844203
chateauroux;46.809461;1.699515
issoudun;46.948634;1.985561
argenton sur creuse;46.592311;1.518528
toulouse matabiau;43.611437;1.454237
saint gaudens;43.104964;0.729267
montrejeau   gourdan polignan;43.078057;0.573546
montauban ville bourbon;44.014178;1.341135
pamiers;43.116213;1.619715
saverdun;43.239429;1.570419
auterive;43.348842;1.468635
latour de carol   enveitg;42.458954;1.904509
porte puymorens;42.538978;1.824791
andorre l hospitalet;42.589453;1.800264
merens les vals;42.659328;1.836998
ax les thermes;42.725032;1.833663
luzenac   garanou;42.764452;1.753165
les cabannes;42.786511;1.686342
tarascon sur ariege;42.849368;1.600071
foix;42.969656;1.606985
cahors;44.449157;1.433249
rocamadour   padirac;44.817916;1.65745
gramat;44.773116;1.723047
assier;44.674547;1.869628
figeac;44.603285;2.037136
capdenac;44.578962;2.077087
gourdon;44.741811;1.389553
aubin;44.52729;2.239021
cransac;44.522966;2.271167
saint christophe;44.464913;2.407278
caussade;44.162312;1.533458
rodez;44.36277;2.580388
viviez   decazeville;44.555558;2.218426
albi ville;43.92221;2.137253
castelnaudary;43.312063;1.950096
lezignan corbieres;43.199868;2.76959
albi madeleine;43.938191;2.140799
carcassonne;43.218165;2.35243
carmaux;44.048606;2.151988
naucelle;44.185513;2.363373
aurillac;44.921286;2.436272
laroquebrou;44.964204;2.192848
neussargues;45.125201;2.979192
tarbes;43.239863;0.069442
lannemezan;43.11424;0.387582
lourdes;43.1006;-0.041812
pau;43.291467;-0.369458
orthez;43.484085;-0.767643
bayonne;43.497018;-1.470194
dax;43.720807;-1.050515
biarritz;43.459312;-1.545938
hendaye;43.353165;-1.782095
saint jean de luz   ciboure;43.385761;-1.660888
villeneuve saint georges;48.731181;2.446434
melun;48.527574;2.655513
paris gare de lyon hall 1   2;48.844578;2.373912
paris bercy bourg  pays d auv ;48.839168;2.382911
nevers;46.987469;3.150448
moulins sur allier;46.560643;3.338974
dijon;47.32288;5.026111
lyon perrache;45.748476;4.825353
lyon part dieu;45.760596;4.859409
chalon sur saone;46.78103;4.843164
macon;46.302901;4.824482
roanne;46.039474;4.062859
vichy;46.126882;3.430707
saint germain des fosses;46.20884;3.430763
clermont ferrand;45.778575;3.100521
riom   chatel guyon;45.889965;3.120498
issoire;45.54411;3.254104
brassac les mines   sainte florine;45.414163;3.330354
arvant;45.365389;3.310677
massiac   blesle;45.253151;3.19643
marseille saint charles;43.30303;5.380555
marseille blancarde;43.296144;5.406559
arles;43.685359;4.632109
toulon;43.12836;5.92972
les arcs   draguignan;43.455592;6.482469
nice ville;43.704832;7.26199
saint raphael valescure;43.424386;6.768467
cannes;43.553991;7.019577
antibes;43.585879;7.119417
crest;44.730125;5.015857
die;44.758189;5.363029
luc en diois;44.613742;5.454811
gap;44.563626;6.085392
veynes devoluy;44.531828;5.815793
chorges;44.545709;6.27193
embrun;44.567048;6.496648
mont dauphin   guillestre;44.674056;6.615586
l argentiere les ecrins;44.790925;6.556188
briancon;44.889614;6.632627
montpellier saint roch;43.60478;3.881168
sete;43.412808;3.69641
nimes centre;43.832387;4.366081
beziers;43.336269;3.218993
narbonne;43.190664;3.005562
agde;43.317539;3.465748
ceilhes   roqueredonde;43.812389;3.15519
le bousquet d orb;43.691064;3.169078
bedarieux;43.608589;3.149746
magalas;43.467838;3.229439
millau;44.101723;3.073783
saint flour   chaudes aigues;45.035035;3.106008
saint chely d apcher;44.801706;3.270761
aumont aubrac;44.718107;3.283377
marvejols;44.544829;3.281272
le monastier;44.50816;3.251877
banassac   la canourgue;44.447599;3.196106
campagnac   saint geniez;44.421956;3.066366
severac le chateau;44.324525;3.05693
saint georges de luzencon;44.066618;2.98358
saint rome de cernon;44.014181;2.967474
tournemire   roquefort;43.969958;3.016447
perpignan;42.696079;2.879622
elne;42.597364;2.963531
argeles sur mer;42.543958;3.021506
collioure;42.52692;3.078248
port vendres;42.513381;3.102386
banyuls sur mer;42.482623;3.124414
cerbere;42.442771;3.165528
