stop1;stop2;temps
StopPoint:OCEINTERCITES-87673004;StopPoint:OCEINTERCITES-87672253;47
StopPoint:OCEINTERCITES-87672253;StopPoint:OCEINTERCITES-87672006;71
StopPoint:OCEINTERCITES-87672006;StopPoint:OCEINTERCITES-87671339;99
StopPoint:OCEINTERCITES-87671339;StopPoint:OCEINTERCITES-87671008;115
StopPoint:OCEINTERCITES-87671008;StopPoint:OCEINTERCITES-87611137;156
StopPoint:OCEINTERCITES-87611137;StopPoint:OCEINTERCITES-87611004;210
StopPoint:OCEINTERCITES-87611004;StopPoint:OCEINTERCITES-87611152;61
StopPoint:OCEINTERCITES-87611152;StopPoint:OCEINTERCITES-87671008;97
StopPoint:OCEINTERCITES-87677005;StopPoint:OCEINTERCITES-87677120;11
StopPoint:OCEINTERCITES-87677120;StopPoint:OCEINTERCITES-87673400;21
StopPoint:OCEINTERCITES-87673400;StopPoint:OCEINTERCITES-87673004;43
StopPoint:OCEINTERCITES-87671123;StopPoint:OCEINTERCITES-87611004;204
StopPoint:OCEINTERCITES-87645507;StopPoint:OCEINTERCITES-87734871;22
StopPoint:OCEINTERCITES-87734871;StopPoint:OCEINTERCITES-87734251;41
StopPoint:OCEINTERCITES-87734251;StopPoint:OCEINTERCITES-87734244;47
StopPoint:OCEINTERCITES-87734244;StopPoint:OCEINTERCITES-87734202;60
StopPoint:OCEINTERCITES-87734202;StopPoint:OCEINTERCITES-87734004;85
StopPoint:OCEINTERCITES-87781005;StopPoint:OCEINTERCITES-87781666;14
StopPoint:OCEINTERCITES-87781666;StopPoint:OCEINTERCITES-87781609;35
StopPoint:OCEINTERCITES-87781609;StopPoint:OCEINTERCITES-87781583;46
StopPoint:OCEINTERCITES-87781583;StopPoint:OCEINTERCITES-87781542;61
StopPoint:OCEINTERCITES-87781542;StopPoint:OCEINTERCITES-87783456;86
StopPoint:OCEINTERCITES-87783456;StopPoint:OCEINTERCITES-87783431;94
StopPoint:OCEINTERCITES-87783431;StopPoint:OCEINTERCITES-87783423;101
StopPoint:OCEINTERCITES-87783423;StopPoint:OCEINTERCITES-87783001;113
StopPoint:OCEINTERCITES-87783001;StopPoint:OCEINTERCITES-87783365;145
StopPoint:OCEINTERCITES-87783365;StopPoint:OCEINTERCITES-87783340;159
StopPoint:OCEINTERCITES-87783340;StopPoint:OCEINTERCITES-87783324;176
StopPoint:OCEINTERCITES-87783324;StopPoint:OCEINTERCITES-87783308;189
StopPoint:OCEINTERCITES-87783308;StopPoint:OCEINTERCITES-87783282;197
StopPoint:OCEINTERCITES-87783282;StopPoint:OCEINTERCITES-87783266;222
