stop_id;nom;latitude;longitude
StopArea:OCE71793150;portbou;42.427055;3.157261
StopPoint:OCETrain TER-71793150;portbou;42.427055;3.157261
StopArea:OCE80142893;appenweier;48.541964;7.973221
StopPoint:OCETrain TER-80142893;appenweier;48.541964;7.973221
StopArea:OCE80142901;legelshurst;48.558617;7.913533
StopPoint:OCETrain TER-80142901;legelshurst;48.558617;7.913533
StopArea:OCE80142919;kork;48.5702;7.8744
StopPoint:OCETrain TER-80142919;kork;48.5702;7.8744
StopArea:OCE80142927;kehl;48.576584;7.80648
StopPoint:OCECar TER-80142927;kehl;48.576584;7.80648
StopPoint:OCETrain TER-80142927;kehl;48.576584;7.80648
StopArea:OCE80143099;offenburg;48.4765;7.9468
StopPoint:OCETrain TER-80143099;offenburg;48.4765;7.9468
StopArea:OCE80144139;muellheim  baden ;47.81;7.5996
StopPoint:OCECar TER-80144139;muellheim  baden ;47.81;7.5996
StopArea:OCE80144154;neuenburg  baden ;47.811507;7.562766
StopPoint:OCECar TER-80144154;neuenburg  baden ;47.811507;7.562766
StopArea:OCE80194324;winden  pfalz ;49.095817;8.122802
StopPoint:OCECar-80194324;winden  pfalz ;49.095817;8.122802
StopArea:OCE80251819;treves;49.756391;6.651918
StopPoint:OCETrain TER-80251819;treves;49.756391;6.651918
StopArea:OCE80251850;konz mitte;49.7003;6.5738
StopPoint:OCETrain TER-80251850;konz mitte;49.7003;6.5738
StopArea:OCE80251967;perl;49.473166;6.36932
StopPoint:OCETrain TER-80251967;perl;49.473166;6.36932
StopArea:OCE80253914;sarrebruck;49.241201;6.99069
StopPoint:OCECar TER-80253914;sarrebruck;49.241201;6.99069
StopPoint:OCETrain TER-80253914;sarrebruck;49.241201;6.99069
StopPoint:OCETramTrain-80253914;sarrebruck;49.241201;6.99069
StopArea:OCE82001000;luxembourg;49.599722;6.134722
StopPoint:OCETrain TER-82001000;luxembourg;49.599722;6.134722
StopArea:OCE82002370;rodange;49.551035;5.843472
StopPoint:OCETrain TER-82002370;rodange;49.551035;5.843472
StopArea:OCE82002501;howald;49.58032;6.13232
StopPoint:OCECar TER-82002501;howald;49.58032;6.13232
StopPoint:OCETrain TER-82002501;howald;49.58032;6.13232
StopArea:OCE82006030;bettembourg;49.516111;6.101111
StopPoint:OCETrain TER-82006030;bettembourg;49.516111;6.101111
StopArea:OCE82007104;luxembourg secteur hollerich;49.59586;6.11878
StopPoint:OCETrain TER-82007104;luxembourg secteur hollerich;49.59586;6.11878
StopArea:OCE82007146;dippach secteur reckange;49.57252;5.99512
StopPoint:OCETrain TER-82007146;dippach secteur reckange;49.57252;5.99512
StopArea:OCE82007187;bascharage secteur sanem;49.5585;5.9249
StopPoint:OCETrain TER-82007187;bascharage secteur sanem;49.5585;5.9249
StopArea:OCE82009300;petange;49.5542;5.8786
StopPoint:OCETrain TER-82009300;petange;49.5542;5.8786
StopArea:OCE82260018;bettembourg gare;49.516389;6.102222
StopPoint:OCECar TER-82260018;bettembourg gare;49.516389;6.102222
StopArea:OCE82916015;lux bg gare;49.598611;6.133056
StopPoint:OCECar TER-82916015;lux bg gare;49.598611;6.133056
StopArea:OCE83045013;ventimiglia;43.792496;7.610456
StopPoint:OCECar TER-83045013;ventimiglia;43.792496;7.610456
StopPoint:OCETrain TER-83045013;ventimiglia;43.792496;7.610456
StopArea:OCE85000109;basel sbb;47.5474;7.58956
StopPoint:OCECar TER-85000109;basel sbb;47.5474;7.58956
StopPoint:OCETrain TER-85000109;basel sbb;47.5474;7.58956
StopArea:OCE85001057;moutier;47.28067;7.38105
StopPoint:OCETrain TER-85001057;moutier;47.28067;7.38105
StopArea:OCE85001099;delemont;47.362;7.35007
StopPoint:OCETrain TER-85001099;delemont;47.362;7.35007
StopArea:OCE85001206;courtetelle;47.34282;7.31794
StopPoint:OCETrain TER-85001206;courtetelle;47.34282;7.31794
StopArea:OCE85001214;courfaivre;47.33508;7.29117
StopPoint:OCETrain TER-85001214;courfaivre;47.33508;7.29117
StopArea:OCE85001222;bassecourt;47.33668;7.24685
StopPoint:OCETrain TER-85001222;bassecourt;47.33668;7.24685
StopArea:OCE85001230;glovelier;47.3352;7.20931
StopPoint:OCETrain TER-85001230;glovelier;47.3352;7.20931
StopArea:OCE85001248;st ursanne;47.36769;7.16596
StopPoint:OCETrain TER-85001248;st ursanne;47.36769;7.16596
StopArea:OCE85001255;courgenay;47.40522;7.12421
StopPoint:OCETrain TER-85001255;courgenay;47.40522;7.12421
StopArea:OCE85001263;porrentruy;47.42091;7.08009
StopPoint:OCETrain TER-85001263;porrentruy;47.42091;7.08009
StopArea:OCE85001271;courtemaiche;47.45587;7.05539
StopPoint:OCETrain TER-85001271;courtemaiche;47.45587;7.05539
StopArea:OCE85001289;boncourt;47.49263;7.01656
StopPoint:OCETrain TER-85001289;boncourt;47.49263;7.01656
StopArea:OCE85001412;courchavon;47.43977;7.05765
StopPoint:OCETrain TER-85001412;courchavon;47.43977;7.05765
StopArea:OCE85001446;buix;47.47933;7.02998
StopPoint:OCETrain TER-85001446;buix;47.47933;7.02998
StopArea:OCE85001594;grenchen nord;47.1918;7.38947
StopPoint:OCETrain TER-85001594;grenchen nord;47.1918;7.38947
StopArea:OCE85010009;zimeysa;46.22128;6.06572
StopPoint:OCETrain TER-85010009;zimeysa;46.22128;6.06572
StopArea:OCE85010017;la plaine  suisse ;46.178753;5.999944
StopPoint:OCETrain TER-85010017;la plaine  suisse ;46.178753;5.999944
StopArea:OCE85010025;russin;46.188219;6.017908
StopPoint:OCETrain TER-85010025;russin;46.188219;6.017908
StopArea:OCE85010033;satigny;46.21424;6.03749
StopPoint:OCETrain TER-85010033;satigny;46.21424;6.03749
StopArea:OCE85010066;meyrin;46.22235;6.0769
StopPoint:OCETrain TER-85010066;meyrin;46.22235;6.0769
StopArea:OCE85010074;vernier;46.220719;6.093892
StopPoint:OCETrain TER-85010074;vernier;46.220719;6.093892
StopArea:OCE85010082;geneve;46.210488;6.142086
StopPoint:OCETrain TER-85010082;geneve;46.210488;6.142086
StopArea:OCE85010116;les tuileries;46.24995;6.147337
StopPoint:OCETrain TER-85010116;les tuileries;46.24995;6.147337
StopArea:OCE85010124;creux de genthod;46.26376;6.16132
StopPoint:OCETrain TER-85010124;creux de genthod;46.26376;6.16132
StopArea:OCE85010132;pont ceard;46.287398;6.162666
StopPoint:OCETrain TER-85010132;pont ceard;46.287398;6.162666
StopArea:OCE85010140;mies;46.298489;6.167655
StopPoint:OCETrain TER-85010140;mies;46.298489;6.167655
StopArea:OCE85010157;tannay;46.307645;6.181124
StopPoint:OCETrain TER-85010157;tannay;46.307645;6.181124
StopArea:OCE85010207;chambesy;46.240945;6.14734
StopPoint:OCETrain TER-85010207;chambesy;46.240945;6.14734
StopArea:OCE85010215;genthod bellevue;46.256738;6.153961
StopPoint:OCETrain TER-85010215;genthod bellevue;46.256738;6.153961
StopArea:OCE85010223;versoix;46.279727;6.165741
StopPoint:OCETrain TER-85010223;versoix;46.279727;6.165741
StopArea:OCE85010231;coppet;46.317394;6.187827
StopPoint:OCETrain TER-85010231;coppet;46.317394;6.187827
StopArea:OCE85011031;vallorbe;46.71242;6.37057
StopPoint:OCECar TER-85011031;vallorbe;46.71242;6.37057
StopPoint:OCETrain TER-85011031;vallorbe;46.71242;6.37057
StopArea:OCE85042150;travers;46.94241;6.67657
StopPoint:OCETrain TER-85042150;travers;46.94241;6.67657
StopArea:OCE85042218;neuchatel;46.99673;6.93571
StopPoint:OCETrain TER-85042218;neuchatel;46.99673;6.93571
StopArea:OCE85043000;biel bienne;47.13289;7.24292
StopPoint:OCETrain TER-85043000;biel bienne;47.13289;7.24292
StopArea:OCE85043141;la chaux de fonds;47.09865;6.82603
StopPoint:OCETrain TER-85043141;la chaux de fonds;47.09865;6.82603
StopArea:OCE85043158;le cret du locle;47.0776;6.78519
StopPoint:OCETrain TER-85043158;le cret du locle;47.0776;6.78519
StopArea:OCE85043166;le locle;47.05786;6.74616
StopPoint:OCECar TER-85043166;le locle;47.05786;6.74616
StopPoint:OCETrain TER-85043166;le locle;47.05786;6.74616
StopArea:OCE85070003;bern;46.94882;7.43912
StopPoint:OCETrain TER-85070003;bern;46.94882;7.43912
StopArea:OCE85161554;lancy pont rouge;46.18722;6.125556
StopPoint:OCETrain TER-85161554;lancy pont rouge;46.18722;6.125556
StopArea:OCE85162727;geneve champel;46.192247;6.15354
StopPoint:OCETrain TER-85162727;geneve champel;46.192247;6.15354
StopArea:OCE85162735;geneve eaux vives;46.200961;6.166205
StopPoint:OCECar TER-85162735;geneve eaux vives;46.200961;6.166205
StopPoint:OCETrain TER-85162735;geneve eaux vives;46.200961;6.166205
StopArea:OCE85162834;geneve secheron;46.22244;6.144561
StopPoint:OCETrain TER-85162834;geneve secheron;46.22244;6.144561
StopArea:OCE85171421;lancy bachet;46.174333;6.129362
StopPoint:OCETrain TER-85171421;lancy bachet;46.174333;6.129362
StopArea:OCE87003483;locmine;47.883611;-2.8325
StopPoint:OCECar-87003483;locmine;47.883611;-2.8325
StopArea:OCE87009696;la douzillere;47.338792;0.652962
StopPoint:OCETrain TER-87009696;la douzillere;47.338792;0.652962
StopArea:OCE87024380;le puy en velay lafayette;45.044167;3.88
StopPoint:OCECar TER-87024380;le puy en velay lafayette;45.044167;3.88
StopArea:OCE87107409;vignory centre;48.278333;5.101389
StopPoint:OCECar TER-87107409;vignory centre;48.278333;5.101389
StopArea:OCE87107417;chaumont hopital;48.119882;5.139408
StopPoint:OCECar TER-87107417;chaumont hopital;48.119882;5.139408
StopArea:OCE87107425;bologne salle des fetes;48.199722;5.141389
StopPoint:OCECar TER-87107425;bologne salle des fetes;48.199722;5.141389
StopArea:OCE87107433;soncourt;48.252222;5.116944
StopPoint:OCECar TER-87107433;soncourt;48.252222;5.116944
StopArea:OCE87107458;gudmont centre;48.3425;5.136944
StopPoint:OCECar TER-87107458;gudmont centre;48.3425;5.136944
StopArea:OCE87107466;eurville mairie;48.585297;5.03725
StopPoint:OCECar TER-87107466;eurville mairie;48.585297;5.03725
StopArea:OCE87107474;saint dizier godard jeanson;48.631407;4.950304
StopPoint:OCECar TER-87107474;saint dizier godard jeanson;48.631407;4.950304
StopArea:OCE87107482;chatonrupt;48.488889;5.1275
StopPoint:OCECar TER-87107482;chatonrupt;48.488889;5.1275
StopArea:OCE87107490;fronville lotissement;48.404722;5.154722
StopPoint:OCECar TER-87107490;fronville lotissement;48.404722;5.154722
StopArea:OCE87107508;marnaval eglise;48.62535;4.990121
StopPoint:OCECar TER-87107508;marnaval eglise;48.62535;4.990121
StopArea:OCE87108829;sedan place calonne;49.699722;4.944167
StopPoint:OCECar TER-87108829;sedan place calonne;49.699722;4.944167
StopArea:OCE87109306;lille centre hospitalier regional;50.614537;3.034093
StopPoint:OCETrain TER-87109306;lille centre hospitalier regional;50.614537;3.034093
StopArea:OCE87110288;joue les tours gamard;47.348913;0.664222
StopPoint:OCECar-87110288;joue les tours gamard;47.348913;0.664222
StopArea:OCE87110296;azay le rideau mairie;47.262332;0.466138
StopPoint:OCECar-87110296;azay le rideau mairie;47.262332;0.466138
StopArea:OCE87110320;neuille pont pierre av gal de gaulle;47.547045;0.551569
StopPoint:OCECar-87110320;neuille pont pierre av gal de gaulle;47.547045;0.551569
StopArea:OCE87110338;saint christophe sur le nais;47.615803;0.475231
StopPoint:OCECar-87110338;saint christophe sur le nais;47.615803;0.475231
StopArea:OCE87110346;ervy le chatel halles;48.04177;3.9113
StopPoint:OCECar TER-87110346;ervy le chatel halles;48.04177;3.9113
StopArea:OCE87110361;villeneuve au chemin;48.09;3.851389
StopPoint:OCECar TER-87110361;villeneuve au chemin;48.09;3.851389
StopArea:OCE87110379;fays la chapelle;48.129722;4.018889
StopPoint:OCECar TER-87110379;fays la chapelle;48.129722;4.018889
StopArea:OCE87111864;balsieges bourg;44.482276;3.456863
StopPoint:OCETrain TER-87111864;balsieges bourg;44.482276;3.456863
StopArea:OCE87112326;carignan rue de la paix;49.635833;5.160556
StopPoint:OCECar TER-87112326;carignan rue de la paix;49.635833;5.160556
StopArea:OCE87112334;we;49.640833;5.153889
StopPoint:OCECar TER-87112334;we;49.640833;5.153889
StopArea:OCE87112342;fromy;49.596389;5.249444
StopPoint:OCECar TER-87112342;fromy;49.596389;5.249444
StopArea:OCE87112714;margut;49.585278;5.265278
StopPoint:OCECar TER-87112714;margut;49.585278;5.265278
StopArea:OCE87112771;saint hilaire sous romilly;48.515833;3.656111
StopPoint:OCECar TER-87112771;saint hilaire sous romilly;48.515833;3.656111
StopArea:OCE87113001;paris est;48.877098;2.35949
StopPoint:OCECar TER-87113001;paris est;48.877098;2.35949
StopPoint:OCETrain TER-87113001;paris est;48.877098;2.35949
StopArea:OCE87115337;azay sur indre le paradis;47.214671;0.940779
StopPoint:OCECar-87115337;azay sur indre le paradis;47.214671;0.940779
StopArea:OCE87116137;longueville;48.513703;3.249822
StopPoint:OCETrain TER-87116137;longueville;48.513703;3.249822
StopArea:OCE87116517;la ferte sous jouarre;48.95075;3.125476
StopPoint:OCETrain TER-87116517;la ferte sous jouarre;48.95075;3.125476
StopArea:OCE87116582;chateau thierry;49.037914;3.409415
StopPoint:OCECar TER-87116582;chateau thierry;49.037914;3.409415
StopPoint:OCETrain TER-87116582;chateau thierry;49.037914;3.409415
StopArea:OCE87117119;auxon eglise;48.103056;3.918333
StopPoint:OCECar TER-87117119;auxon eglise;48.103056;3.918333
StopArea:OCE87117440;martigny les gerbonvaux centre;48.444816;5.792737
StopPoint:OCECar TER-87117440;martigny les gerbonvaux centre;48.444816;5.792737
StopArea:OCE87117457;autreville centre;48.484054;5.849088
StopPoint:OCECar TER-87117457;autreville centre;48.484054;5.849088
StopArea:OCE87117465;allamps e s a t;48.542768;5.796812
StopPoint:OCECar TER-87117465;allamps e s a t;48.542768;5.796812
StopArea:OCE87117499;hestroff eglise;49.262268;6.433667
StopPoint:OCECar TER-87117499;hestroff eglise;49.262268;6.433667
StopArea:OCE87117507;vaudreching bernanos;49.285029;6.524449
StopPoint:OCECar TER-87117507;vaudreching bernanos;49.285029;6.524449
StopArea:OCE87117515;alzing rue de brettnach;49.278966;6.552207
StopPoint:OCECar TER-87117515;alzing rue de brettnach;49.278966;6.552207
StopArea:OCE87117523;hargarten aux mines rue principale;49.225295;6.609196
StopPoint:OCECar TER-87117523;hargarten aux mines rue principale;49.225295;6.609196
StopArea:OCE87117598;montigny sur chiers eglise;49.478758;5.669597
StopPoint:OCECar TER-87117598;montigny sur chiers eglise;49.478758;5.669597
StopArea:OCE87117606;lexy carrefour;49.498998;5.727192
StopPoint:OCECar TER-87117606;lexy carrefour;49.498998;5.727192
StopArea:OCE87117689;hertzing centre;48.686449;6.950784
StopPoint:OCECar TER-87117689;hertzing centre;48.686449;6.950784
StopArea:OCE87117697;bebing route nationale;48.711668;6.998459
StopPoint:OCECar TER-87117697;bebing route nationale;48.711668;6.998459
StopArea:OCE87117903;bouilly mairie;48.193611;3.998611
StopPoint:OCECar TER-87117903;bouilly mairie;48.193611;3.998611
StopArea:OCE87117911;chamoy carrefour d1 d23;48.116944;3.973056
StopPoint:OCECar TER-87117911;chamoy carrefour d1 d23;48.116944;3.973056
StopArea:OCE87117929;jeugny eglise;48.130278;4.036389
StopPoint:OCECar TER-87117929;jeugny eglise;48.130278;4.036389
StopArea:OCE87117937;montigny les monts mairie;48.103333;3.946111
StopPoint:OCECar TER-87117937;montigny les monts mairie;48.103333;3.946111
StopArea:OCE87117952;saint jean de bonneval eglise;48.171667;4.048889
StopPoint:OCECar TER-87117952;saint jean de bonneval eglise;48.171667;4.048889
