nom;latitude;longitude
portbou;42.427055;3.157261
appenweier;48.541964;7.973221
legelshurst;48.558617;7.913533
kork;48.5702;7.8744
kehl;48.576584;7.80648
offenburg;48.4765;7.9468
muellheim  baden ;47.81;7.5996
neuenburg  baden ;47.811507;7.562766
winden  pfalz ;49.095817;8.122802
treves;49.756391;6.651918
konz mitte;49.7003;6.5738
perl;49.473166;6.36932
sarrebruck;49.241201;6.99069
luxembourg;49.599722;6.134722
rodange;49.551035;5.843472
howald;49.58032;6.13232
bettembourg;49.516111;6.101111
luxembourg secteur hollerich;49.59586;6.11878
dippach secteur reckange;49.57252;5.99512
bascharage secteur sanem;49.5585;5.9249
petange;49.5542;5.8786
bettembourg gare;49.516389;6.102222
lux bg gare;49.598611;6.133056
ventimiglia;43.792496;7.610456
basel sbb;47.5474;7.58956
moutier;47.28067;7.38105
delemont;47.362;7.35007
courtetelle;47.34282;7.31794
courfaivre;47.33508;7.29117
bassecourt;47.33668;7.24685
glovelier;47.3352;7.20931
st ursanne;47.36769;7.16596
courgenay;47.40522;7.12421
porrentruy;47.42091;7.08009
courtemaiche;47.45587;7.05539
boncourt;47.49263;7.01656
courchavon;47.43977;7.05765
buix;47.47933;7.02998
grenchen nord;47.1918;7.38947
zimeysa;46.22128;6.06572
la plaine  suisse ;46.178753;5.999944
russin;46.188219;6.017908
satigny;46.21424;6.03749
meyrin;46.22235;6.0769
vernier;46.220719;6.093892
geneve;46.210488;6.142086
les tuileries;46.24995;6.147337
creux de genthod;46.26376;6.16132
pont ceard;46.287398;6.162666
mies;46.298489;6.167655
tannay;46.307645;6.181124
chambesy;46.240945;6.14734
genthod bellevue;46.256738;6.153961
versoix;46.279727;6.165741
coppet;46.317394;6.187827
vallorbe;46.71242;6.37057
travers;46.94241;6.67657
neuchatel;46.99673;6.93571
biel bienne;47.13289;7.24292
la chaux de fonds;47.09865;6.82603
le cret du locle;47.0776;6.78519
le locle;47.05786;6.74616
bern;46.94882;7.43912
lancy pont rouge;46.18722;6.125556
geneve champel;46.192247;6.15354
geneve eaux vives;46.200961;6.166205
geneve secheron;46.22244;6.144561
lancy bachet;46.174333;6.129362
locmine;47.883611;-2.8325
la douzillere;47.338792;0.652962
le puy en velay lafayette;45.044167;3.88
vignory centre;48.278333;5.101389
chaumont hopital;48.119882;5.139408
bologne salle des fetes;48.199722;5.141389
soncourt;48.252222;5.116944
gudmont centre;48.3425;5.136944
eurville mairie;48.585297;5.03725
saint dizier godard jeanson;48.631407;4.950304
chatonrupt;48.488889;5.1275
fronville lotissement;48.404722;5.154722
marnaval eglise;48.62535;4.990121
sedan place calonne;49.699722;4.944167
lille centre hospitalier regional;50.614537;3.034093
joue les tours gamard;47.348913;0.664222
azay le rideau mairie;47.262332;0.466138
neuille pont pierre av gal de gaulle;47.547045;0.551569
saint christophe sur le nais;47.615803;0.475231
ervy le chatel halles;48.04177;3.9113
villeneuve au chemin;48.09;3.851389
fays la chapelle;48.129722;4.018889
balsieges bourg;44.482276;3.456863
carignan rue de la paix;49.635833;5.160556
we;49.640833;5.153889
fromy;49.596389;5.249444
margut;49.585278;5.265278
saint hilaire sous romilly;48.515833;3.656111
paris est;48.877098;2.35949
azay sur indre le paradis;47.214671;0.940779
longueville;48.513703;3.249822
la ferte sous jouarre;48.95075;3.125476
chateau thierry;49.037914;3.409415
auxon eglise;48.103056;3.918333
martigny les gerbonvaux centre;48.444816;5.792737
autreville centre;48.484054;5.849088
allamps e s a t;48.542768;5.796812
hestroff eglise;49.262268;6.433667
vaudreching bernanos;49.285029;6.524449
alzing rue de brettnach;49.278966;6.552207
hargarten aux mines rue principale;49.225295;6.609196
montigny sur chiers eglise;49.478758;5.669597
lexy carrefour;49.498998;5.727192
hertzing centre;48.686449;6.950784
bebing route nationale;48.711668;6.998459
bouilly mairie;48.193611;3.998611
chamoy carrefour d1 d23;48.116944;3.973056
jeugny eglise;48.130278;4.036389
montigny les monts mairie;48.103333;3.946111
saint jean de bonneval eglise;48.171667;4.048889
saint phal monument aux morts;48.120556;3.996389
villery;48.171111;4.018611
neuvy sautour route nationale;48.042778;3.792778
brienon sur armancon mairie;47.991944;3.616944
troyes;48.296648;4.064259
saint lye eglise;48.35881;3.999147
payns mairie;48.382113;3.977727
savieres  impasse st phal;48.41234;3.947353
saint mesmin gare sncf;48.438503;3.923669
vallant saint georges mairie;48.469237;3.90388
chatres salle polyvalente;48.501415;3.853637
maizieres la grande paroisse eglise;48.511494;3.786759
romilly sur seine;48.514156;3.728338
marnay sur seine;48.509413;3.561394
nogent sur seine;48.497839;3.493729
vendeuvre;48.240348;4.467192
bar sur aube;48.238524;4.706879
evry le chatel gare;48.044949;3.921252
les cabannes centre;42.78486;1.688377
pamiers centre;43.116;1.6108
merens les vals;42.659328;1.836998
saint girons place des capots;42.98416;1.142541
le vernet;43.184272;1.609749
varilhes centre;43.044978;1.627614
brion   montreal la cluse gare;46.175979;5.558858
auch le seilhan;43.657778;0.5975
tarascon sur ariege;42.849368;1.600071
la source universite;47.839388;1.934688
dreux gare routiere;48.732222;1.371111
gaillac d aveyron;44.3536;2.9286
lapanouse;44.3354;3.0317
la roquette hotel la rocade;44.371265;2.63249
canabols;44.3785;2.6541
lugan rn88 d295;44.364188;2.887331
bertholene cafe girou;44.3929;2.782
albias;44.091992;1.444705
troyes gare routiere;48.297284;4.064276
barberey saint sulpice centre commercial;48.334086;4.023592
barberey saint sulpice route d;48.338838;4.030786
mesgrigny mairie;48.486377;3.883707
mery sur seine hotel de ville;48.508626;3.88909
maizieres la grande paroisse tabac;48.501306;3.780686
troyes chambre de commerce;48.291111;4.071111
troyes lombards;48.278056;4.065833
rosieres pres de troyes;48.256667;4.064722
saint leger pres troyes;48.235278;4.078889
moussey;48.214444;4.094444
roncenay;48.190904;4.065314
lirey la chapelle;48.156389;4.042222
machy;48.14;4.044167
le cheminot;48.14687;4.010188
coursan en othe rn;48.079722;3.830278
nancy place de la republique;48.689857;6.174579
jarville la malgrange;48.669788;6.203364
foug;48.67928;5.791329
toul;48.679011;5.880499
fontenoy sur moselle;48.712042;5.980756
liverdun;48.749387;6.061669
frouard;48.755428;6.143927
champigneulles;48.735065;6.16936
laneuveville devant nancy;48.655699;6.227814
varangeville   saint nicolas;48.635339;6.31286
dombasle sur meurthe;48.623275;6.343478
rosieres aux salines;48.605441;6.350631
blainville   damelevieres;48.564645;6.386978
mont sur meurthe;48.559964;6.449774
luneville;48.58775;6.497139
einvaux;48.50311;6.392751
bayon;48.467655;6.322191
soulosse route nationale;48.399311;5.701625
neufchateau;48.358092;5.691036
saint clement   laronxe;48.53121;6.608298
chenevieres;48.519475;6.632684
menil   flin;48.504819;6.659707
azerailles;48.491163;6.696215
baccarat;48.452264;6.744054
bertrichamps;48.428486;6.791279
thiaville;48.413551;6.810476
houdemont;48.645432;6.179705
ludres;48.621963;6.170878
messein;48.613;6.137641
neuves maisons;48.614845;6.107949
pont saint vincent;48.602974;6.10224
blenod les toul les naux;48.59948;5.843568
bulligny centre;48.576464;5.85127
barisey la cote gare;48.535008;5.83992
pompey;48.773351;6.131393
marbache;48.801156;6.108779
belleville gare;48.819245;6.101779
dieulouard;48.843671;6.071289
pont a mousson;48.900348;6.051021
chaumont;48.109443;5.134432
langres;47.877377;5.344188
lorraine tgv;48.94743;6.170055
culmont   chalindrey;47.810202;5.443219
bologne;48.198576;5.134256
vignory;48.270175;5.123994
froncles;48.296638;5.141602
donjeux;48.36593;5.148422
vaux sous aubigny;47.657621;5.293643
vraincourt;48.237072;5.123844
epinal;48.178005;6.441787
saint die des vosges;48.28184;6.948355
docelles chenimenil gare;48.143566;6.610969
charmes;48.378483;6.301537
vincey;48.343691;6.335486
chatel   nomexy;48.307226;6.387751
igney;48.271289;6.39939
thaon;48.244715;6.415959
xertigny;48.053007;6.376761
bains les bains;47.981223;6.295195
bruyeres;48.205021;6.718908
mirecourt;48.299249;6.129464
vittel;48.202426;5.942295
contrexeville;48.179613;5.890633
martigny les bains gare;48.108946;5.82563
lamarche;48.090206;5.760194
rozieres sur mouzon;48.120611;5.705865
provencheres sur fave;48.304005;7.085104
arches gare;48.120065;6.527832
pouxeux;48.108806;6.569532
eloyes;48.08682;6.600237
remiremont;48.016536;6.598958
vecoux eglise;47.978611;6.636389
rupt sur moselle centre;47.923967;6.65992
ferdrupt ecole;47.906944;6.708333
ramonchamp pont;47.892222;6.739444
le thillot avenue de verdun;47.881667;6.761111
fresse sur moselle centre;47.875556;6.782778
saint maurice sur moselle ancienne gare;47.854722;6.818889
raon l etape;48.403729;6.836867
vagney mairie;48.009444;6.716111
etival clairefontaine;48.367202;6.876959
zainvillers maison de retraite solem;47.993889;6.716389
thiefosse mairie;47.971799;6.729788
saulxures sur moselotte lac de moselotte;47.948889;6.770833
saint michel sur meurthe;48.327463;6.887896
cornimont place pranziere;47.962778;6.8375
saint nabord;48.04618;6.581868
hielle ancienne gare;47.963611;6.634167
maxonchamp route de maxonchamp;47.945833;6.635556
dommartin eglise;47.998611;6.644444
gages le pont rn88;44.393434;2.705914
meuse tgv;48.978627;5.271874
cande;47.560172;-1.035832
blonville sur mer;49.338611;0.027778
villiers sur mer;49.315978;0.009919
houlgate;49.300278;-0.073611
maussac place de la poste;45.4713;2.1402
