stop1;stop2;temps
StopPoint:OCENavette-87571240;StopPoint:OCENavette-87571000;5
StopPoint:OCENavette-87571000;StopPoint:OCENavette-87571240;5
StopPoint:OCETrain TER-87411017;StopPoint:OCETrain TER-87411207;9
StopPoint:OCETrain TER-87411207;StopPoint:OCETrain TER-87415877;18
StopPoint:OCETrain TER-87415877;StopPoint:OCETrain TER-87415620;29
StopPoint:OCETrain TER-87415620;StopPoint:OCETrain TER-87415604;38
StopPoint:OCETrain TER-87415604;StopPoint:OCETrain TER-87381509;53
StopPoint:OCETrain TER-87381509;StopPoint:OCETrain TER-87384008;95
StopPoint:OCETrain TER-87384008;StopPoint:OCETrain TER-87415604;54
StopPoint:OCETrain TER-87415661;StopPoint:OCETrain TER-87411207;84
StopPoint:OCETrain TER-87415893;StopPoint:OCETrain TER-87415885;57
StopPoint:OCETrain TER-87415885;StopPoint:OCETrain TER-87381509;64
StopPoint:OCETrain TER-87543009;StopPoint:OCETrain TER-87543017;7
StopPoint:OCETrain TER-87543017;StopPoint:OCETrain TER-87547000;64
StopPoint:OCETrain TER-87547000;StopPoint:OCETrain TER-87543017;61
StopPoint:OCETrain TER-87574004;StopPoint:OCETrain TER-87574319;101
StopPoint:OCETrain TER-87574319;StopPoint:OCETrain TER-87574343;112
StopPoint:OCETrain TER-87574343;StopPoint:OCETrain TER-87571240;126
StopPoint:OCETrain TER-87571240;StopPoint:OCETrain TER-87571000;131
StopPoint:OCETrain TER-87571000;StopPoint:OCETrain TER-87571240;8
StopPoint:OCETrain TER-87317263;StopPoint:OCETrain TER-87317586;26
StopPoint:OCETrain TER-87317586;StopPoint:OCETrain TER-87317065;41
StopPoint:OCETrain TER-87317065;StopPoint:OCETrain TER-87317057;50
StopPoint:OCETrain TER-87317057;StopPoint:OCETrain TER-87317404;60
StopPoint:OCETrain TER-87317404;StopPoint:OCETrain TER-87317396;67
StopPoint:OCETrain TER-87317396;StopPoint:OCETrain TER-87317362;76
StopPoint:OCETrain TER-87317362;StopPoint:OCETrain TER-87313874;106
StopPoint:OCETrain TER-87313874;StopPoint:OCETrain TER-87313049;112
StopPoint:OCETrain TER-87313049;StopPoint:OCETrain TER-87271007;180
StopPoint:OCETrain TER-87313270;StopPoint:OCETrain TER-87313304;160
StopPoint:OCETrain TER-87313304;StopPoint:OCETrain TER-87276006;171
StopPoint:OCETrain TER-87276006;StopPoint:OCETrain TER-87271007;200
StopPoint:OCETrain TER-87271007;StopPoint:OCETrain TER-87276006;29
StopPoint:OCETrain TER-87317339;StopPoint:OCETrain TER-87317263;175
StopPoint:OCETrain TER-87286005;StopPoint:OCETrain TER-87345009;20
StopPoint:OCETrain TER-87345009;StopPoint:OCETrain TER-87342014;36
StopPoint:OCETrain TER-87342014;StopPoint:OCETrain TER-87313049;72
StopPoint:OCETrain TER-87345520;StopPoint:OCETrain TER-87345561;14
StopPoint:OCETrain TER-87345561;StopPoint:OCETrain TER-87296244;23
StopPoint:OCETrain TER-87296244;StopPoint:OCETrain TER-87296004;39
StopPoint:OCETrain TER-87296004;StopPoint:OCETrain TER-87276691;75
StopPoint:OCETrain TER-87276691;StopPoint:OCETrain TER-87271007;116
StopPoint:OCETrain TER-87295600;StopPoint:OCETrain TER-87295006;121
StopPoint:OCETrain TER-87295006;StopPoint:OCETrain TER-87295600;12
StopPoint:OCETrain TER-87276329;StopPoint:OCETrain TER-87276691;55
StopPoint:OCETrain TER-87276782;StopPoint:OCETrain TER-87296616;81
StopPoint:OCETrain TER-87296616;StopPoint:OCETrain TER-87296442;89
StopPoint:OCETrain TER-87296442;StopPoint:OCETrain TER-87296004;103
StopPoint:OCETrain TER-87295220;StopPoint:OCETrain TER-87295600;112
StopPoint:OCETrain TER-87393488;StopPoint:OCETrain TER-87393553;11
StopPoint:OCETrain TER-87393553;StopPoint:OCETrain TER-87393595;25
StopPoint:OCETrain TER-87393595;StopPoint:OCETrain TER-87444638;40
StopPoint:OCETrain TER-87444638;StopPoint:OCETrain TER-87444562;65
StopPoint:OCETrain TER-87444562;StopPoint:OCETrain TER-87444539;75
StopPoint:OCETrain TER-87444539;StopPoint:OCETrain TER-87448084;93
StopPoint:OCETrain TER-87448084;StopPoint:OCETrain TER-87448001;105
StopPoint:OCETrain TER-87448001;StopPoint:OCETrain TER-87448159;123
StopPoint:OCETrain TER-87448159;StopPoint:OCETrain TER-87447698;140
StopPoint:OCETrain TER-87447698;StopPoint:OCETrain TER-87447649;150
StopPoint:OCETrain TER-87447649;StopPoint:OCETrain TER-87447680;162
StopPoint:OCETrain TER-87447680;StopPoint:OCETrain TER-87447649;11
StopPoint:OCETrain TER-87444604;StopPoint:OCETrain TER-87444638;34
StopPoint:OCETrain TER-87391003;StopPoint:OCETrain TER-87393488;48
StopPoint:OCETrain TER-87444000;StopPoint:OCETrain TER-87444208;15
StopPoint:OCETrain TER-87444208;StopPoint:OCETrain TER-87444216;21
StopPoint:OCETrain TER-87444216;StopPoint:OCETrain TER-87444539;43
StopPoint:OCETrain TER-87444695;StopPoint:OCETrain TER-87444711;74
StopPoint:OCETrain TER-87444711;StopPoint:OCETrain TER-87396077;89
StopPoint:OCETrain TER-87396077;StopPoint:OCETrain TER-87396044;96
StopPoint:OCETrain TER-87396044;StopPoint:OCETrain TER-87396002;121
StopPoint:OCETrain TER-87396002;StopPoint:OCETrain TER-87396564;135
StopPoint:OCETrain TER-87396564;StopPoint:OCETrain TER-87396606;152
StopPoint:OCETrain TER-87396606;StopPoint:OCETrain TER-87571000;180
StopPoint:OCETrain TER-87396093;StopPoint:OCETrain TER-87444711;108
StopPoint:OCETrain TER-87394296;StopPoint:OCETrain TER-87394254;15
StopPoint:OCETrain TER-87394254;StopPoint:OCETrain TER-87394221;25
StopPoint:OCETrain TER-87394221;StopPoint:OCETrain TER-87394007;38
StopPoint:OCETrain TER-87394007;StopPoint:OCETrain TER-87394130;50
StopPoint:OCETrain TER-87394130;StopPoint:OCETrain TER-87394114;56
StopPoint:OCETrain TER-87394114;StopPoint:OCETrain TER-87393314;67
StopPoint:OCETrain TER-87393314;StopPoint:OCETrain TER-87393009;87
StopPoint:OCETrain TER-87393009;StopPoint:OCETrain TER-87391003;99
StopPoint:OCETrain TER-87396309;StopPoint:OCETrain TER-87396325;23
StopPoint:OCETrain TER-87396325;StopPoint:OCETrain TER-87394296;36
StopPoint:OCETrain TER-87394171;StopPoint:OCETrain TER-87394155;47
StopPoint:OCETrain TER-87394155;StopPoint:OCETrain TER-87394148;51
StopPoint:OCETrain TER-87394148;StopPoint:OCETrain TER-87394130;56
StopPoint:OCETrain TER-87393348;StopPoint:OCETrain TER-87393314;74
StopPoint:OCETrain TER-87396333;StopPoint:OCETrain TER-87396325;118
StopPoint:OCETrain TER-87571273;StopPoint:OCETrain TER-87574343;21
StopPoint:OCETrain TER-87574194;StopPoint:OCETrain TER-87574160;60
