stop_id;nom;latitude;longitude
StopArea:OCE71043075;figueres vilafant;42.264581;2.943028
StopPoint:OCETGV INOUI-71043075;figueres vilafant;42.264581;2.943028
StopArea:OCE71718010;barcelone sants;41.379497;2.140607
StopPoint:OCETGV INOUI-71718010;barcelone sants;41.379497;2.140607
StopArea:OCE71793000;girona;41.979371;2.816957
StopPoint:OCETGV INOUI-71793000;girona;41.979371;2.816957
StopArea:OCE80021402;augsburg hbf;48.365616;10.885692
StopPoint:OCEICE-80021402;augsburg hbf;48.365616;10.885692
StopArea:OCE80110684;francfort sur le main;50.1073;8.6624
StopPoint:OCEICE-80110684;francfort sur le main;50.1073;8.6624
StopArea:OCE80140087;mannheim hbf;49.4794;8.4696
StopPoint:OCEICE-80140087;mannheim hbf;49.4794;8.4696
StopArea:OCE80142281;karlsruhe hbf;48.9935;8.4019
StopPoint:OCEICE-80142281;karlsruhe hbf;48.9935;8.4019
StopArea:OCE80142778;baden baden;48.790369;8.190768
StopPoint:OCEICE-80142778;baden baden;48.790369;8.190768
StopArea:OCE80143099;offenburg;48.4765;7.9468
StopPoint:OCETGV INOUI-80143099;offenburg;48.4765;7.9468
StopArea:OCE80143198;lahr  schwarzw ;48.340306;7.83479
StopPoint:OCETGV INOUI-80143198;lahr  schwarzw ;48.340306;7.83479
StopArea:OCE80143255;ringsheim;48.248667;7.773037
StopPoint:OCETGV INOUI-80143255;ringsheim;48.248667;7.773037
StopArea:OCE80143503;freiburg  breisgau  hbf;47.997633;7.841052
StopPoint:OCETGV INOUI-80143503;freiburg  breisgau  hbf;47.997633;7.841052
StopArea:OCE80196980;kaiserslautern hbf;49.4359;7.7688
StopPoint:OCEICE-80196980;kaiserslautern hbf;49.4359;7.7688
StopArea:OCE80203471;munich;48.1401;11.5587
StopPoint:OCEICE-80203471;munich;48.1401;11.5587
StopArea:OCE80253914;sarrebruck;49.241201;6.99069
StopPoint:OCEICE-80253914;sarrebruck;49.241201;6.99069
StopArea:OCE80290346;stuttgart hbf;48.784045;9.181389
StopPoint:OCEICE-80290346;stuttgart hbf;48.784045;9.181389
StopArea:OCE80290551;esslingen  neckar ;48.7388;9.3001
StopPoint:OCEICE-80290551;esslingen  neckar ;48.7388;9.3001
StopArea:OCE80291039;ulm hbf;48.399605;9.982989
StopPoint:OCEICE-80291039;ulm hbf;48.399605;9.982989
StopArea:OCE82001000;luxembourg;49.599722;6.134722
StopPoint:OCETGV INOUI-82001000;luxembourg;49.599722;6.134722
StopArea:OCE85000109;basel sbb;47.5474;7.58956
StopPoint:OCELyria-85000109;basel sbb;47.5474;7.58956
StopArea:OCE85010082;geneve;46.210488;6.142086
StopPoint:OCELyria-85010082;geneve;46.210488;6.142086
StopArea:OCE85011031;vallorbe;46.71242;6.37057
StopPoint:OCELyria-85011031;vallorbe;46.71242;6.37057
StopArea:OCE85011205;lausanne;46.51679;6.62909
StopPoint:OCELyria-85011205;lausanne;46.51679;6.62909
StopArea:OCE85030007;zuerich hb;47.37817;8.54018
StopPoint:OCELyria-85030007;zuerich hb;47.37817;8.54018
StopArea:OCE87111849;marne la vallee chessy;48.869841;2.782731
StopPoint:OCEOUIGO-87111849;marne la vallee chessy;48.869841;2.782731
StopPoint:OCETGV INOUI-87111849;marne la vallee chessy;48.869841;2.782731
StopArea:OCE87113001;paris est;48.877098;2.35949
StopPoint:OCEICE-87113001;paris est;48.877098;2.35949
StopPoint:OCEOUIGO-87113001;paris est;48.877098;2.35949
StopPoint:OCETGV INOUI-87113001;paris est;48.877098;2.35949
StopArea:OCE87141002;nancy place de la republique;48.689857;6.174579
StopPoint:OCETGV INOUI-87141002;nancy place de la republique;48.689857;6.174579
StopArea:OCE87141150;luneville;48.58775;6.497139
StopPoint:OCETGV INOUI-87141150;luneville;48.58775;6.497139
StopArea:OCE87142109;lorraine tgv;48.94743;6.170055
StopPoint:OCETGV INOUI-87142109;lorraine tgv;48.94743;6.170055
StopArea:OCE87144006;epinal;48.178005;6.441787
StopPoint:OCETGV INOUI-87144006;epinal;48.178005;6.441787
StopArea:OCE87144014;saint die des vosges;48.28184;6.948355
StopPoint:OCETGV INOUI-87144014;saint die des vosges;48.28184;6.948355
StopArea:OCE87144451;remiremont;48.016536;6.598958
StopPoint:OCETGV INOUI-87144451;remiremont;48.016536;6.598958
StopArea:OCE87147322;meuse tgv;48.978627;5.271874
StopPoint:OCETGV INOUI-87147322;meuse tgv;48.978627;5.271874
StopArea:OCE87171009;reims;49.259121;4.023901
StopPoint:OCETGV INOUI-87171009;reims;49.259121;4.023901
StopArea:OCE87171926;champagne ardenne tgv;49.214459;3.993588
StopPoint:OCEICE-87171926;champagne ardenne tgv;49.214459;3.993588
StopPoint:OCETGV INOUI-87171926;champagne ardenne tgv;49.214459;3.993588
StopArea:OCE87172007;charleville mezieres;49.767884;4.725132
StopPoint:OCETGV INOUI-87172007;charleville mezieres;49.767884;4.725132
StopArea:OCE87172254;sedan;49.695024;4.930373
StopPoint:OCETGV INOUI-87172254;sedan;49.695024;4.930373
StopArea:OCE87172270;rethel;49.504393;4.369566
StopPoint:OCETGV INOUI-87172270;rethel;49.504393;4.369566
StopArea:OCE87174003;chalons en champagne;48.955467;4.348962
StopPoint:OCETGV INOUI-87174003;chalons en champagne;48.955467;4.348962
StopArea:OCE87174276;vitry le francois;48.717913;4.587515
StopPoint:OCETGV INOUI-87174276;vitry le francois;48.717913;4.587515
StopArea:OCE87175042;bar le duc;48.77317;5.167809
StopPoint:OCETGV INOUI-87175042;bar le duc;48.77317;5.167809
StopArea:OCE87182014;colmar;48.073527;7.347756
StopPoint:OCETGV INOUI-87182014;colmar;48.073527;7.347756
StopArea:OCE87182063;mulhouse;47.7417;7.343
StopPoint:OCEICE-87182063;mulhouse;47.7417;7.343
StopPoint:OCELyria-87182063;mulhouse;47.7417;7.343
StopPoint:OCETGV INOUI-87182063;mulhouse;47.7417;7.343
StopArea:OCE87191007;thionville;49.353965;6.168582
StopPoint:OCETGV INOUI-87191007;thionville;49.353965;6.168582
StopArea:OCE87192039;metz;49.107169;6.17724
StopPoint:OCEOUIGO-87192039;metz;49.107169;6.17724
StopPoint:OCETGV INOUI-87192039;metz;49.107169;6.17724
StopArea:OCE87193003;forbach;49.189482;6.900434
StopPoint:OCEICE-87193003;forbach;49.189482;6.900434
StopArea:OCE87212027;strasbourg;48.58511;7.733882
StopPoint:OCEICE-87212027;strasbourg;48.58511;7.733882
StopPoint:OCEOUIGO-87212027;strasbourg;48.58511;7.733882
StopPoint:OCETGV INOUI-87212027;strasbourg;48.58511;7.733882
StopArea:OCE87212225;saverne;48.744483;7.362055
StopPoint:OCETGV INOUI-87212225;saverne;48.744483;7.362055
StopArea:OCE87214056;selestat;48.259824;7.443157
StopPoint:OCETGV INOUI-87214056;selestat;48.259824;7.443157
StopArea:OCE87215012;sarrebourg;48.73808;7.05285
StopPoint:OCETGV INOUI-87215012;sarrebourg;48.73808;7.05285
StopArea:OCE87223263;lille europe;50.639686;3.0749
StopPoint:OCETGV INOUI-87223263;lille europe;50.639686;3.0749
StopArea:OCE87271007;paris gare du nord;48.880398;2.354973
StopPoint:OCEICE-87271007;paris gare du nord;48.880398;2.354973
StopPoint:OCETGV INOUI-87271007;paris gare du nord;48.880398;2.354973
StopArea:OCE87271494;aeroport charles de gaulle 2 tgv;49.004016;2.571109
StopPoint:OCEOUIGO-87271494;aeroport charles de gaulle 2 tgv;49.004016;2.571109
StopPoint:OCETGV INOUI-87271494;aeroport charles de gaulle 2 tgv;49.004016;2.571109
StopArea:OCE87281006;dunkerque;51.030304;2.368379
StopPoint:OCETGV INOUI-87281006;dunkerque;51.030304;2.368379
StopArea:OCE87281071;calais   frethun;50.901934;1.811456
StopPoint:OCETGV INOUI-87281071;calais   frethun;50.901934;1.811456
StopArea:OCE87286005;lille flandres;50.63646;3.07084
StopPoint:OCEOUIGO-87286005;lille flandres;50.63646;3.07084
StopPoint:OCETGV INOUI-87286005;lille flandres;50.63646;3.07084
StopArea:OCE87286302;hazebrouck;50.725156;2.542448
