stop1;stop2;temps
StopPoint:OCETGV INOUI-87391003;StopPoint:OCETGV INOUI-87581009;129
StopPoint:OCETGV INOUI-87581009;StopPoint:OCETGV INOUI-87586008;194
StopPoint:OCETGV INOUI-87586008;StopPoint:OCETGV INOUI-87611244;234
StopPoint:OCETGV INOUI-87611244;StopPoint:OCETGV INOUI-87611004;260
StopPoint:OCETGV INOUI-87393702;StopPoint:OCETGV INOUI-87391003;129
StopPoint:OCETGV INOUI-87583005;StopPoint:OCETGV INOUI-87391003;143
StopPoint:OCETGV INOUI-87571240;StopPoint:OCETGV INOUI-87391003;164
StopPoint:OCETGV INOUI-87575142;StopPoint:OCETGV INOUI-87575001;96
StopPoint:OCETGV INOUI-87113001;StopPoint:OCETGV INOUI-87142109;78
StopPoint:OCETGV INOUI-87142109;StopPoint:OCETGV INOUI-87212027;115
StopPoint:OCETGV INOUI-87171926;StopPoint:OCETGV INOUI-87142109;84
StopPoint:OCETGV INOUI-87212027;StopPoint:OCETGV INOUI-87147322;53
StopPoint:OCETGV INOUI-87147322;StopPoint:OCETGV INOUI-87113001;115
StopPoint:OCETGV INOUI-87271007;StopPoint:OCETGV INOUI-87212027;122
StopPoint:OCETGV INOUI-87182063;StopPoint:OCETGV INOUI-87300822;78
StopPoint:OCETGV INOUI-87300822;StopPoint:OCETGV INOUI-87300863;102
StopPoint:OCETGV INOUI-87300863;StopPoint:OCETGV INOUI-87725002;160
StopPoint:OCETGV INOUI-87725002;StopPoint:OCETGV INOUI-87723197;230
StopPoint:OCETGV INOUI-87723197;StopPoint:OCETGV INOUI-87318964;296
StopPoint:OCETGV INOUI-87318964;StopPoint:OCETGV INOUI-87319012;320
StopPoint:OCETGV INOUI-87319012;StopPoint:OCETGV INOUI-87751008;332
StopPoint:OCETGV INOUI-87751008;StopPoint:OCETGV INOUI-87319012;14
StopPoint:OCETGV INOUI-87713040;StopPoint:OCETGV INOUI-87725689;199
StopPoint:OCETGV INOUI-87725689;StopPoint:OCETGV INOUI-87723197;247
StopPoint:OCETGV INOUI-87763029;StopPoint:OCETGV INOUI-87318964;325
StopPoint:OCETGV INOUI-87271494;StopPoint:OCETGV INOUI-87111849;156
StopPoint:OCETGV INOUI-87111849;StopPoint:OCETGV INOUI-87393702;197
StopPoint:OCETGV INOUI-87575001;StopPoint:OCETGV INOUI-87583005;329
StopPoint:OCETGV INOUI-87484006;StopPoint:OCETGV INOUI-87481002;348
StopPoint:OCETGV INOUI-87396002;StopPoint:OCETGV INOUI-87484006;295
StopPoint:OCETGV INOUI-87192039;StopPoint:OCETGV INOUI-87113001;85
StopPoint:OCETGV INOUI-87182014;StopPoint:OCETGV INOUI-87182063;65
StopPoint:OCETGV INOUI-87775007;StopPoint:OCETGV INOUI-87773002;367
StopPoint:OCETGV INOUI-87773002;StopPoint:OCETGV INOUI-87775007;30
StopPoint:OCETGV INOUI-87481002;StopPoint:OCETGV INOUI-87484006;40
StopPoint:OCETGV INOUI-87703975;StopPoint:OCETGV INOUI-87688887;344
StopPoint:OCETGV INOUI-87141002;StopPoint:OCETGV INOUI-87147322;37
StopPoint:OCETGV INOUI-87713545;StopPoint:OCETGV INOUI-87723197;268
StopPoint:OCETGV INOUI-87755009;StopPoint:OCETGV INOUI-87755447;462
StopPoint:OCETGV INOUI-87755447;StopPoint:OCETGV INOUI-87757526;479
StopPoint:OCETGV INOUI-87757526;StopPoint:OCETGV INOUI-87757625;505
StopPoint:OCETGV INOUI-87757625;StopPoint:OCETGV INOUI-87757674;516
StopPoint:OCETGV INOUI-87757674;StopPoint:OCETGV INOUI-87756056;535
StopPoint:OCETGV INOUI-87756056;StopPoint:OCETGV INOUI-87757674;16
StopPoint:OCETGV INOUI-87171009;StopPoint:OCETGV INOUI-87113001;47
StopPoint:OCETGV INOUI-87214056;StopPoint:OCETGV INOUI-87212027;41
StopPoint:OCETGV INOUI-87144006;StopPoint:OCETGV INOUI-87144451;169
StopPoint:OCETGV INOUI-87144451;StopPoint:OCETGV INOUI-87144006;24
StopPoint:OCETGV INOUI-87215012;StopPoint:OCETGV INOUI-87212225;166
StopPoint:OCETGV INOUI-87212225;StopPoint:OCETGV INOUI-87212027;191
StopPoint:OCETGV INOUI-87141150;StopPoint:OCETGV INOUI-87215012;153
StopPoint:OCETGV INOUI-87144014;StopPoint:OCETGV INOUI-87141002;61
StopPoint:OCETGV INOUI-87172270;StopPoint:OCETGV INOUI-87172007;103
StopPoint:OCETGV INOUI-87172007;StopPoint:OCETGV INOUI-87172254;127
