ville;latitude;longitude
paris;48.8567;2.3522
marseille;43.2964;5.37
lyon;45.76;4.84
toulouse;43.6045;1.444
nice;43.7034;7.2663
nantes;47.2181;-1.5528
montpellier;43.6119;3.8772
strasbourg;48.5833;7.7458
bordeaux;44.84;-0.58
lille;50.6278;3.0583
rennes;48.1147;-1.6794
reims;49.2628;4.0347
toulon;43.1258;5.9306
saint etienne;45.4347;4.3903
le havre;49.49;0.1
grenoble;45.1715;5.7224
dijon;47.3167;5.0167
angers;47.4736;-0.5542
villeurbanne;45.7667;4.8803
nimes;43.838;4.361
clermont ferrand;45.7831;3.0824
aix en provence;43.5263;5.4454
le mans;48.0077;0.1984
brest;48.39;-4.49
tours;47.3936;0.6892
amiens;49.892;2.299
limoges;45.8353;1.2625
annecy;45.916;6.133
boulogne billancourt;48.8352;2.2409
perpignan;42.6986;2.8956
metz;49.1203;6.1778
besancon;47.24;6.02
orleans;47.9025;1.909
saint denis;48.9356;2.3539
rouen;49.4428;1.0886
montreuil;48.8611;2.4436
argenteuil;48.95;2.25
mulhouse;47.75;7.34
caen;49.18;-0.37
nancy;48.6936;6.1846
roubaix;50.6901;3.1817
tourcoing;50.7239;3.1612
nanterre;48.8988;2.1969
vitry sur seine;48.7875;2.3928
creteil;48.7911;2.4628
poitiers;46.58;0.34
aubervilliers;48.9131;2.3831
aulnay sous bois;48.9386;2.4906
dunkerque;51.0383;2.3775
colombes;48.9236;2.2522
versailles;48.8053;2.135
courbevoic;48.8978;2.2531
rueil malmaison;48.876;2.181
la rochelle;46.16;-1.15
champigny sur marne;48.8172;2.5156
pau;43.3;-0.37
saint maur des fosses;48.7994;2.4997
cannes;43.5513;7.0128
antibes;43.5808;7.1239
calais;50.9481;1.8564
drancy;48.93;2.45
merignac;44.8386;-0.6436
saint nazaire;47.2736;-2.2139
ajaccio;41.9267;8.7369
issy les moulineaux;48.8239;2.27
noisy le grand;48.8478;2.5528
venissieux;45.6978;4.8867
cergy;49.0361;2.0631
levallois perret;48.895;2.2872
pessac;44.8067;-0.6311
valence;44.9333;4.8917
ivry sur seine;48.8078;2.3747
clichy;48.9044;2.3064
la seyne sur mer;43.1;5.883
antony;48.7539;2.2975
troyes;48.2997;4.0792
cherbourg;49.6333;-1.6
neuilly sur seine;48.8881;2.2686
pantin;48.8966;2.4017
sarcelles;48.9956;2.3808
chambery;45.57;5.9118
bellevue;48.871;2.385
le blanc mesnil;48.9387;2.4614
lorient;47.75;-3.36
beauvais;49.4303;2.0952
maisons alfort;48.8058;2.4378
meaux;48.9603;2.8883
villejuif;48.7919;2.3636
chelles;48.8833;2.6
epinay sur seine;48.9553;2.3092
bondy;48.9022;2.4828
bobigny;48.9106;2.4397
saint quentin;49.8486;3.2864
vannes;47.6559;-2.7603
evry;48.6239;2.4294
clamart;48.8014;2.2628
vaulx en velin;45.7768;4.9186
sartrouville;48.9372;2.1644
fontenay sous bois;48.8517;2.4772
cagnes sur mer;43.6644;7.1489
bayonne;43.49;-1.48
sevran;48.9333;2.5333
corbeil essonnes;48.6139;2.482
saint ouen;48.9123;2.3342
massy;48.7309;2.2713
vincennes;48.8478;2.4392
laval;48.0733;-0.7689
suresnes;48.87;2.22
montrouge;48.8172;2.3219
gennevilliers;48.9333;2.3
bastia;42.7008;9.4503
saint herblain;47.2122;-1.6497
belfort;47.64;6.85
saint priest;45.6972;4.9447
evreux;49.02;1.15
charleville mezieres;49.7719;4.7161
choisy le roi;48.763;2.409
rosny sous bois;48.8667;2.4833
meudon;48.8123;2.2382
livry gargan;48.9192;2.5361
puteaux;48.885;2.2389
chalon sur saone;46.7806;4.8528
la courneuve;48.9322;2.3967
alfortville;48.805;2.4239
noisy le sec;48.8894;2.4503
chalons en champagne;48.9575;4.365
mantes la jolie;48.9908;1.7172
saint brieuc;48.5136;-2.7653
sete;43.4053;3.6975
talence;44.8;-0.584
chateauroux;46.8103;1.6911
valenciennes;50.3581;3.5233
caluire et cuire;45.7953;4.8472
garges les gonesse;48.9728;2.4008
reze;47.1917;-1.5694
tarbes;43.23;0.07
bron;45.7394;4.9139
le cannet;43.5769;7.0194
ales;44.1281;4.0817
angouleme;45.65;0.16
arras;50.292;2.78
bourg en bresse;46.2056;5.2289
bagneux;48.7983;2.3137
wattrelos;50.7;3.217
melun;48.5406;2.66
boulogne sur mer;50.7264;1.6147
colomiers;43.6139;1.3367
anglet;43.485;-1.5183
gagny;48.8833;2.5333
douai;50.3714;3.08
poissy;48.9294;2.0456
stains;48.95;2.3833
marcq en baroeul;50.6711;3.0972
chartres;48.456;1.484
saint martin d heres;45.1672;5.7653
villepinte;48.955;2.541
franconville;48.9889;2.2314
chatillon;48.8;2.29
echirolles;45.1436;5.7183
villenave d ornon;44.7806;-0.5658
savigny sur orge;48.6797;2.3457
annemasse;46.1958;6.2364
villefranche sur saone;45.9833;4.7167
creil;49.2583;2.4833
bagnolet;48.8692;2.4181
sainte genevieve des bois;48.6369;2.3403
neuilly sur marne;48.8537;2.549
thonon les bains;46.3627;6.475
athis mons;48.7074;2.3889
conflans sainte honorine;48.9992;2.0983
palaiseau;48.7145;2.2457
montlucon;46.3408;2.6033
villeneuve saint georges;48.7325;2.4497
meyzieu;45.7667;5.0036
chatenay malabry;48.7653;2.2781
nogent sur marne;48.8375;2.4833
roanne;46.0367;4.0689
schiltigheim;48.6078;7.75
le perreux sur marne;48.8422;2.5036
nevers;46.9933;3.1572
les mureaux;48.9875;1.9172
agen;44.2049;0.6212
houilles;48.9261;2.1892
trappes;48.7775;2.0025
montigny le bretonneux;48.7711;2.0333
cambrai;50.1767;3.2356
pontoise;49.0516;2.1017
l hay les roses;48.78;2.3374
bezons;48.9261;2.2178
lens;50.4322;2.8333
vigneux sur seine;48.7001;2.417
goussainville;49.0325;2.4747
plaisir;48.8183;1.9472
malakoff;48.8169;2.2944
cachan;48.7919;2.3319
viry chatillon;48.6713;2.375
pierrefitte sur seine;48.9656;2.3614
rillieux la pape;45.8214;4.8983
thiais;48.765;2.3923
begles;44.8086;-0.5478
menton;43.775;7.5
aix les bains;45.6885;5.9153
lievin;50.4228;2.7786
villemomble;48.8833;2.5
chatou;48.8897;2.1573
romainville;48.884;2.435
le plessis robinson;48.7811;2.2633
perigueux;45.1929;0.7217
charenton le pont;48.8265;2.405
saint cloud;48.84;2.22
vandoeuvre les nancy;48.6567;6.1683
savigny le temple;48.5841;2.5832
ris orangis;48.6537;2.4161
la garenne colombes;48.9056;2.2445
maubeuge;50.2775;3.9734
guyancourt;48.7714;2.0739
yerres;48.7171;2.4881
saint laurent du var;43.668;7.188
ermont;48.9922;2.2603
sotteville les rouen;49.4092;1.09
clichy sous bois;48.9102;2.5532
decines charpieu;45.7694;4.9594
villiers sur marne;48.8275;2.5447
bois colombes;48.9175;2.2683
draveil;48.6852;2.408
soissons;49.3817;3.3236
fresnes;48.755;2.3221
